300.0, 125, 32, 2511.3778253640976
300.0, 250, 16, 2491.1980244399942
300.0, 500, 8, 2484.25320363943
300.0, 1000, 4, 2481.9820217349343
300.0, 2000, 2, 2481.4718059567854
300.0, 4000, 1, 2481.372872535926
400.0, 10, 400, 2750.1890536269025
400.0, 25, 160, 2652.593163023094
400.0, 50, 80, 2578.1966948574145
400.0, 125, 32, 2511.929245145121
400.0, 250, 16, 2490.6013622375467
400.0, 500, 8, 2483.79238236462
400.0, 1000, 4, 2481.88402609365
400.0, 2000, 2, 2481.341040631974
400.0, 4000, 1, 2481.2507382298995
500.0, 10, 400, 2743.4542929167014
500.0, 25, 160, 2651.1826439449464
500.0, 50, 80, 2583.21942497808
500.0, 125, 32, 2513.0022597026086
500.0, 250, 16, 2491.398910487644
500.0, 500, 8, 2483.599128024654
500.0, 1000, 4, 2481.6828264525634
500.0, 2000, 2, 2481.1956530437847
500.0, 4000, 1, 2481.1023194930494
750.0, 10, 400, 2760.652407050189
750.0, 25, 160, 2660.4383226061577
750.0, 50, 80, 2582.3364638475337
750.0, 125, 32, 2511.6464161418567
750.0, 250, 16, 2491.3402873916652
750.0, 500, 8, 2483.394527916217
750.0, 1000, 4, 2481.647897921552
750.0, 2000, 2, 2480.990076839871
750.0, 4000, 1, 2480.872956035433
1000.0, 10, 400, 2757.2502682082386
1000.0, 25, 160, 2666.037109098504
1000.0, 50, 80, 2582.2284694071136
1000.0, 125, 32, 2512.7401076993597
1000.0, 250, 16, 2491.29140418205
1000.0, 500, 8, 2483.702895728701
1000.0, 1000, 4, 2481.639511374335
1000.0, 2000, 2, 2480.9711286662487
1000.0, 4000, 1, 2480.937338340292
